distance,X,Y,Z,V,max,may,maz,mav
0.759,0.225055,4.376601,8.90643,9.926217,0.261,4.403,9.072,10.093
0.779,0.656011,4.616021,8.576031,9.76147,0.232,4.422,8.965,10.005
0.799,1.106121,4.553771,8.09719,9.35547,0.467,4.457,8.637,9.745
0.819,1.35033,4.67827,7.790732,9.187226,0.834,4.556,8.343,9.558
0.839,1.091756,4.745308,8.307879,9.62968,1.051,4.648,8.193,9.483
0.859,0.78051,4.472369,9.002198,10.082205,1.082,4.612,8.3,9.564
0.879,0.440533,4.333505,8.853758,9.867237,0.916,4.557,8.489,9.692
0.9,0.497994,4.515464,8.101978,9.288674,0.703,4.517,8.566,9.717
0.919,0.56982,4.261679,7.685388,8.806349,0.572,4.396,8.411,9.511
0.939,0.35913,4.22816,7.680599,8.774846,0.467,4.335,8.08,9.184
0.959,0.196325,4.041412,8.513782,9.426348,0.406,4.262,7.995,9.074
0.979,-0.531513,3.902549,9.437943,10.226787,0.148,4.108,8.329,9.309
0.999,-0.814029,4.065354,10.223241,11.031972,-0.198,4.059,8.964,9.865
1.019,-0.387861,3.912126,9.303867,10.100352,-0.384,3.98,9.37,10.196
1.039,-0.158017,3.89776,8.844181,9.666284,-0.473,3.944,9.452,10.256
1.059,-0.560243,3.969586,9.682152,10.479292,-0.48,3.961,9.513,10.319
1.079,-0.507571,4.012682,9.442732,10.272508,-0.403,3.948,9.318,10.13
1.099,-0.162806,3.979163,8.892065,9.743155,-0.347,3.965,9.215,10.04
1.119,-0.019154,3.969586,8.753201,9.61127,-0.312,3.983,9.193,10.027
1.139,0.09098,4.041412,8.374918,9.299492,-0.15,4.001,8.866,9.732
1.159,-0.483629,3.89776,9.409213,10.196064,-0.144,3.972,8.857,9.712
1.179,-0.316035,3.739743,9.394848,10.116755,-0.182,3.912,8.983,9.806
1.2,0.009577,3.888184,9.241618,10.026244,-0.175,3.892,9.105,9.91
1.219,-0.047884,3.854665,8.791509,9.59955,-0.209,3.845,9.209,9.985
1.239,-0.225055,3.725378,8.585608,9.361717,-0.145,3.802,9.003,9.776
1.259,-0.205901,4.012682,8.992621,9.849429,-0.117,3.87,8.903,9.709
1.279,-0.225055,4.070143,9.165004,10.030653,-0.176,3.916,8.884,9.71
1.301,0.043096,3.979163,9.270349,10.088357,-0.153,3.947,9.003,9.833
1.319,0.124498,3.921702,9.074024,9.886008,-0.066,3.996,9.125,9.964
1.338,0.296881,3.931279,8.226477,9.122391,0.06,3.976,8.934,9.782
1.358,0.124498,3.907337,8.274361,9.151384,0.147,3.935,8.711,9.562
1.379,0.153229,4.103662,8.834604,9.742369,0.175,3.966,8.602,9.476
1.399,0.349553,4.180276,9.002198,9.93159,0.231,4.031,8.584,9.487
1.419,0.129287,4.161122,9.011775,9.92692,0.189,4.088,8.781,9.688
1.442,0.3304,4.060566,8.820239,9.715656,0.241,4.126,8.917,9.829
1.459,0.272939,4.113238,8.676587,9.60606,0.271,4.129,8.878,9.795
1.479,0.009577,4.022259,8.073248,9.019755,0.186,4.089,8.645,9.567
1.499,-0.043096,4.012682,8.470686,9.373152,0.142,4.052,8.51,9.429
1.52,-0.229843,4.027047,8.686164,9.577023,0.002,4.044,8.477,9.394
1.539,-0.483629,3.945644,9.251195,10.069092,-0.187,4.002,8.62,9.51
1.559,-0.320823,3.907337,9.318233,10.109386,-0.269,3.973,8.932,9.782
1.579,-0.287304,3.725378,9.02614,9.76894,-0.33,3.901,9.07,9.881
1.601,-0.081403,3.773262,8.887277,9.655456,-0.293,3.838,9.121,9.901
1.619,-0.100556,3.691859,9.112331,9.83232,-0.198,3.774,9.086,9.842
1.639,-0.608127,3.730166,9.141062,9.891561,-0.269,3.73,9.042,9.787
1.659,-0.454898,3.782839,9.040505,9.810583,-0.311,3.745,9.045,9.797
1.681,-0.23942,3.787627,9.102755,9.86223,-0.351,3.748,9.099,9.849
1.703,-0.344765,3.797204,9.006987,9.780768,-0.412,3.774,9.073,9.836
1.719,-0.311246,3.883395,8.743625,9.572283,-0.338,3.813,8.973,9.756
1.739,-0.172383,3.801992,8.810662,9.597533,-0.267,3.818,8.916,9.703
1.764,-0.277727,3.711013,9.351752,10.06499,-0.277,3.798,8.978,9.754
1.779,-0.665588,3.663129,8.983045,9.724022,-0.357,3.765,8.972,9.74
1.799,-0.967257,3.41892,8.791509,9.482364,-0.521,3.649,8.984,9.717
1.819,-0.483629,3.576937,8.834604,9.543512,-0.599,3.592,8.99,9.704
1.839,-0.186748,4.003105,8.75799,9.631309,-0.576,3.666,8.842,9.595
1.859,-0.732626,3.835511,8.805874,9.632824,-0.593,3.709,8.797,9.572
1.879,-1.369483,4.046201,8.963891,9.929681,-0.693,3.865,8.841,9.684
1.899,-0.234632,4.141969,8.48984,9.44925,-0.631,4.007,8.754,9.661
1.921,0.972046,4.007894,7.699753,8.73466,-0.341,4.008,8.49,9.437
1.939,1.067814,3.5099,7.31668,8.184952,0.109,3.926,8.118,9.075
1.959,1.091756,3.581726,8.968679,9.718945,0.724,3.81,8.119,9.022
1.979,0.349553,3.399766,9.11712,9.736656,0.87,3.625,8.276,9.094
2,0.732626,3.222595,10.01734,10.54841,0.81,3.428,8.855,9.547
2.02,0.885855,3.600879,9.643845,10.332222,0.765,3.451,9.437,10.084
2.039,0.071826,3.715801,9.14585,9.872128,0.51,3.485,9.481,10.122
2.059,0.378284,3.347094,8.576031,9.213818,0.517,3.472,9.346,9.992
2.078,-0.699107,3.040636,8.346188,8.910279,0.159,3.426,8.928,9.582
2.099,-1.015141,3.227384,9.097966,9.706673,-0.316,3.333,8.792,9.426
2.119,-0.924162,3.615245,10.338163,10.990983,-0.565,3.308,9.09,9.705
2.139,-0.555455,3.29921,10.395624,10.920729,-0.798,3.296,9.544,10.132
2.159,0.454898,2.901772,8.825027,9.300985,-0.51,3.261,9.664,10.23
2.179,0.373495,4.060566,7.331046,8.388798,-0.163,3.469,9.222,9.9
2.199,0.124498,4.520253,7.493851,8.752485,0.099,3.695,8.511,9.341
2.219,-0.383072,4.730943,6.876147,8.355236,0.142,4.053,7.632,8.699
2.239,-0.531513,4.539406,7.311892,8.622788,-0.104,4.463,7.253,8.53
2.259,0.153229,3.864242,6.698977,7.735123,-0.159,4.414,7.095,8.366
2.279,2.317587,0.052672,9.006987,9.300527,0.389,3.297,7.473,8.503
2.299,-1.015141,-0.952892,13.206416,13.279606,0.231,1.876,9.056,9.735
2.319,1.187524,2.331953,10.409989,10.733876,0.661,1.324,9.831,10.262
2.339,-0.416591,2.944868,9.275137,9.740327,0.518,1.094,10.475,10.764
2.359,-0.603339,2.475605,9.356541,9.697293,-0.212,1.7,10.562,10.863
2.379,-0.751779,2.537854,8.537724,8.938602,-0.146,2.573,9.395,9.778
2.399,-0.92895,2.901772,8.259995,8.804019,-0.675,2.715,8.857,9.295
2.419,-2.169147,4.52983,7.996634,9.443024,-1.113,3.111,8.538,9.221
2.439,-2.13084,5.477933,9.054871,10.795319,-1.495,3.862,8.462,9.495
2.484,-2.418144,4.568137,7.656657,9.237948,-1.912,4.369,8.242,9.57
2.508,-1.714248,3.150769,8.24563,8.99202,-2.108,4.432,8.238,9.617
2.508,0.138864,2.99754,10.362105,10.787853,-1.531,4.049,8.83,9.953
2.531,-3.294421,3.830723,8.418014,9.817872,-1.822,3.637,8.671,9.709
2.539,-2.422932,2.030283,4.34787,5.375558,-1.823,3.002,7.843,8.743
2.562,-2.1883,2.260126,8.647857,9.202296,-1.942,2.78,7.944,8.796
2.581,1.80044,0.512359,13.484144,13.613458,-1.526,2.158,8.724,9.502
2.599,3.548207,1.063026,11.99495,12.553829,0.184,1.466,9.619,10.186
2.645,2.13084,1.479617,8.030152,8.438785,3.095,1.055,10.397,11.031
2.659,-0.306458,1.063026,9.342175,9.407454,2.568,1.192,9.361,9.98
2.679,-0.325611,-0.296881,9.662998,9.67304,1.599,0.852,8.778,9.259
2.712,0.761356,-0.612916,10.711658,10.756159,0.565,0.408,9.437,9.569
2.722,2.341529,-0.943315,11.832145,12.09844,0.618,-0.198,10.387,10.484
2.739,3.332729,-1.25935,10.663774,11.243182,1.528,-0.778,10.718,10.943
2.779,2.94008,-0.143652,10.333375,10.744456,3.17,-0.968,10.467,11.029
2.799,3.136404,-0.550666,11.377247,11.814483,3.369,-0.87,10.354,10.958
2.819,3.457227,-1.546654,10.864887,11.5061,3.4,-0.942,10.404,11.024
4.242,-3.452439,-4.338294,-4.735731,7.291589,5.29,-4.657,-5.234,10.19
4.259,1.436521,-8.714894,-3.112462,9.364849,3.529,-5.213,-4.271,9.345
4.379,3.011906,1.752556,-4.865018,5.984265,6.102,-6.976,-4.86,11.811
4.519,-1.762132,-13.177686,-5.061342,14.225811,0.259,-20.059,-6.157,25.112
4.538,-0.095768,-10.94629,-8.341399,13.762608,1.933,-21.788,-4.306,24.149
4.559,1.235408,-10.146626,-5.688623,11.697893,-2.2,-15.076,-4.562,16.747
4.579,-0.110133,-9.68694,-4.007894,10.483899,-0.183,-10.989,-5.775,12.543
4.598,-1.335965,-7.848193,-6.679823,10.392255,-0.077,-9.657,-6.179,11.584
4.618,1.776498,-6.47871,-3.165135,7.42615,0.391,-8.54,-4.885,10
4.639,1.101333,-6.076484,-4.338294,7.547011,0.358,-7.523,-4.548,8.962
4.659,-0.54109,-9.471462,-5.540183,10.986127,0.25,-7.469,-4.931,9.088
4.679,-0.076614,-9.56723,-5.267244,10.921612,0.565,-7.898,-4.578,9.22
4.699,2.049437,-8.633492,-4.371812,9.891922,0.633,-8.437,-4.879,9.837
4.719,1.656788,-8.78672,-5.123591,10.305464,0.772,-9.115,-5.076,10.526
4.739,0.742203,-8.226477,-5.003881,9.657361,1.093,-8.803,-4.942,10.194
4.759,0.737414,-7.714118,-4.893748,9.165161,1.296,-8.34,-4.848,9.755
4.779,-0.172383,-2.873042,-6.129156,6.77131,0.741,-6.9,-5.288,8.975
4.799,-1.355118,1.359907,-7.225701,7.476393,-0.012,-4.363,-5.813,8.268
4.819,0.124498,1.412579,-5.602432,5.779111,-0.166,-1.954,-5.963,7.298
4.839,-0.972046,0.804452,-10.697293,10.771448,-0.594,0.176,-7.414,7.7
4.859,0.622492,-5.444415,-8.896853,10.449074,-0.395,-0.467,-8.106,8.619
4.879,-4.563348,-7.599196,-6.756437,11.145464,-1.197,-2.707,-7.988,9.536
4.979,-1.877054,-5.482722,-12.272678,13.572111,3.427,-15.404,-6.511,20.211
4.999,-0.957681,-7.8865,-9.217676,12.168796,0.492,-7.705,-7.294,13.098
5.019,-2.274492,-5.583278,-4.070143,7.274089,-2.903,-6.112,-6.402,10.382
5.041,-1.92015,-5.430049,-6.660669,8.805505,-1.757,-6.096,-8.055,10.455
5.059,-0.80924,-8.762778,-6.354211,10.854361,-1.49,-6.916,-6.576,9.776
5.079,-2.020706,-6.627151,-6.593631,9.564431,-1.756,-6.601,-5.92,9.125
5.099,-1.747767,-5.750873,-7.354988,9.498582,-1.624,-6.643,-6.741,9.681
5.121,-0.976834,-3.169923,-7.010222,7.755375,-1.389,-6.078,-6.828,9.418
5.139,-1.134852,-3.265691,-5.851429,6.796458,-1.47,-4.703,-6.703,8.404
5.159,-1.388637,-9.021352,-8.121132,12.217442,-1.312,-5.302,-7.084,9.067
5.179,-0.057461,-9.935937,-7.354988,12.362119,-0.889,-6.348,-7.084,9.783
5.202,-0.962469,-9.945514,-7.240066,12.339293,-0.886,-8.042,-7.142,10.929
5.219,-1.235408,-6.272809,-6.722919,9.277499,-0.911,-8.794,-7.36,11.549
5.239,-1.297657,-5.094861,-6.090849,8.046115,-0.888,-7.812,-6.852,10.506
5.259,-2.633622,-6.220136,-6.823475,9.601347,-1.532,-6.883,-6.719,9.816
5.282,-2.207454,-7.963115,-7.49864,11.158568,-1.844,-6.388,-6.784,9.521
5.299,-1.699883,-8.413225,-7.536947,11.422676,-1.96,-6.923,-6.987,10.057
5.319,-1.273715,-7.723695,-7.685388,10.970095,-1.954,-7.58,-7.386,10.788
5.339,-1.058237,-7.632715,-6.727707,10.229381,-1.56,-7.933,-7.362,10.945
5.362,-0.857124,-6.167464,-6.086061,8.707032,-1.222,-7.484,-7.009,10.332
5.379,-0.986411,-6.076484,-6.540959,8.982249,-1.044,-6.9,-6.76,9.722
5.399,-0.59855,-7.354988,-7.101202,10.241151,-0.875,-6.808,-6.614,9.54
5.419,-0.857124,-6.469133,-7.469909,9.918865,-0.825,-6.517,-6.8,9.462
5.441,-0.976834,-5.904101,-6.780379,9.04357,-0.855,-6.451,-6.973,9.546
5.459,-0.737414,-6.727707,-7.082048,9.79598,-0.792,-6.614,-7.108,9.75
5.479,-1.244985,-7.398083,-6.713342,10.067303,-0.954,-6.625,-7.011,9.706
5.499,-0.876278,-7.345411,-7.388506,10.455283,-0.959,-6.844,-6.991,9.841
5.521,-0.56982,-6.469133,-6.435614,9.142839,-0.857,-6.985,-6.905,9.865
5.539,-0.986411,-5.588067,-6.497863,8.626803,-0.919,-6.7,-6.759,9.573
5.559,-1.063026,-6.363788,-6.421249,9.102761,-0.874,-6.442,-6.686,9.332
5.579,-0.957681,-7.029376,-7.120356,10.051306,-0.894,-6.363,-6.619,9.231
5.601,-1.086968,-7.326257,-7.881712,10.815587,-1.024,-6.577,-6.98,9.649
5.619,-1.039083,-7.034164,-7.278373,10.17516,-1.037,-6.938,-7.175,10.036
5.639,-1.015141,-6.895301,-7.062895,9.92271,-1.025,-7.071,-7.336,10.241
5.659,-1.01993,-6.828263,-6.799533,9.690154,-1.04,-7.021,-7.256,10.151
5.682,-1.077391,-6.780379,-7.244854,9.981094,-1.038,-6.885,-7.096,9.942
5.699,-1.029507,-7.110779,-7.120356,10.11546,-1.035,-6.904,-7.057,9.927
5.719,-0.80924,-6.660669,-6.92882,9.645098,-0.984,-6.845,-7.023,9.858
5.739,-0.555455,-6.392519,-6.924031,9.440076,-0.868,-6.736,-7.055,9.795
5.759,-0.751779,-6.133945,-7.024588,9.356029,-0.786,-6.574,-6.999,9.639
5.779,-0.962469,-6.584054,-6.952762,9.623773,-0.77,-6.443,-6.958,9.516
5.799,-1.374272,-6.320693,-7.211336,9.687267,-0.911,-6.358,-7.028,9.527
5.819,-1.283292,-6.842628,-7.331046,10.110026,-1.093,-6.47,-7.13,9.694
5.84,-1.728614,-6.636727,-7.340622,10.045844,-1.337,-6.596,-7.209,9.867
5.859,-1.441309,-6.368577,-6.909666,9.50682,-1.457,-6.542,-7.198,9.837
5.879,-1.11091,-6.397307,-7.07726,9.604544,-1.391,-6.561,-7.165,9.817
5.899,-0.914585,-6.981492,-7.417237,10.227077,-1.299,-6.596,-7.186,9.846
5.921,-1.192312,-7.101202,-7.264008,10.228122,-1.165,-6.712,-7.167,9.892
5.939,-1.393425,-7.082048,-7.07726,10.108643,-1.153,-6.891,-7.209,10.042
5.959,-1.130063,-7.182605,-7.307104,10.308279,-1.158,-7.087,-7.266,10.218
5.979,-1.154005,-6.98628,-7.73806,10.488918,-1.217,-7.088,-7.347,10.283
6.009,-1.264138,-6.818686,-7.345411,10.101861,-1.235,-7.017,-7.367,10.252
6.019,-1.388637,-6.53617,-7.292738,9.891101,-1.234,-6.881,-7.421,10.198
6.039,-0.852336,-6.818686,-7.177817,9.936902,-1.165,-6.79,-7.389,10.105
6.059,-0.617704,-6.924031,-7.345411,10.113299,-1.031,-6.774,-7.29,10.011
6.081,-0.933739,-6.675035,-7.302315,9.937392,-0.948,-6.738,-7.28,9.97
6.099,-1.125275,-6.363788,-7.398083,9.823222,-0.882,-6.695,-7.306,9.953
6.119,-1.034295,-6.421249,-7.661446,10.049873,-0.928,-6.596,-7.427,9.981
6.139,-0.526724,-6.521805,-6.98628,9.571807,-0.905,-6.495,-7.337,9.846
6.161,-0.220267,-6.588843,-6.833052,9.494839,-0.727,-6.474,-7.22,9.735
6.179,-0.296881,-6.95755,-7.426814,10.181021,-0.52,-6.622,-7.227,9.824
6.199,-0.459687,-6.861782,-7.431602,10.125417,-0.376,-6.732,-7.169,9.843
6.219,-0.608127,-6.646304,-7.331046,9.914001,-0.396,-6.764,-7.256,9.929
6.239,-1.13964,-6.670246,-7.661446,10.221972,-0.626,-6.784,-7.463,10.111
6.259,-0.933739,-6.71813,-7.958326,10.456582,-0.785,-6.724,-7.596,10.179
6.279,-0.952892,-6.588843,-7.991845,10.401464,-0.909,-6.656,-7.736,10.249
6.298,-1.005565,-6.373365,-7.924808,10.219272,-1.008,-6.588,-7.884,10.325
6.32,-0.756568,-6.497863,-7.536947,9.979989,-0.912,-6.545,-7.853,10.264
6.339,-0.617704,-6.588843,-7.661446,10.123841,-0.833,-6.512,-7.779,10.181
6.359,-0.68953,-6.967127,-8.60955,11.096876,-0.767,-6.607,-7.933,10.355
6.379,-0.378284,-6.402095,-8.78672,10.878252,-0.611,-6.614,-8.149,10.52
6.399,0.033519,-5.894525,-8.480263,10.327701,-0.413,-6.463,-8.384,10.607
6.419,0.560243,-6.124368,-7.589619,9.768525,-0.119,-6.347,-8.367,10.518
6.439,0.191536,-5.746084,-8.063671,9.903381,0.102,-6.042,-8.23,10.219
6.459,0.411803,-5.157111,-8.734048,10.151304,0.299,-5.731,-8.217,10.038
6.482,0.866701,-5.090073,-8.99741,10.373688,0.508,-5.529,-8.346,10.049
6.499,1.158794,-5.353435,-8.748413,10.321666,0.657,-5.337,-8.636,10.188
6.519,1.288081,-4.994305,-7.905654,9.439364,0.931,-5.149,-8.596,10.072
6.539,1.446098,-4.74052,-8.197746,9.579497,1.19,-5.045,-8.462,9.929
6.561,1.340753,-4.841076,-9.078813,10.37586,1.308,-4.982,-8.483,9.929
6.579,1.47004,-4.941632,-9.715671,10.998864,1.386,-4.879,-8.724,10.098
6.599,1.786075,-4.563348,-9.222465,10.443566,1.511,-4.772,-9.054,10.349
6.619,2.523489,-3.854665,-8.441956,9.617331,1.78,-4.55,-9.115,10.359
6.639,2.542642,-3.830723,-8.154651,9.361506,2.081,-4.298,-8.884,10.105
6.659,2.221819,-3.926491,-8.772355,9.864483,2.269,-4.044,-8.648,9.822
6.679,3.011906,-3.964798,-8.690952,10.01618,2.575,-3.894,-8.515,9.715
6.699,2.944868,-3.375824,-8.010999,9.178482,2.68,-3.774,-8.407,9.605
6.719,3.08852,-3.050213,-7.790732,8.918423,2.817,-3.579,-8.316,9.494
6.739,2.260126,-2.614468,-7.718906,8.457253,2.826,-3.251,-8.053,9.143
6.759,2.408567,-2.341529,-7.929596,8.611762,2.676,-2.846,-7.863,8.791
6.779,2.494758,-1.690306,-7.570466,8.148184,2.563,-2.424,-7.752,8.534
6.799,2.63841,-1.565808,-7.795521,8.377536,2.45,-2.053,-7.754,8.399
6.819,2.901772,-1.570596,-7.64708,8.328559,2.611,-1.792,-7.736,8.367
6.839,2.561796,-1.374272,-7.350199,7.90423,2.649,-1.55,-7.591,8.19
6.859,2.964022,-1.537078,-8.513782,9.145081,2.766,-1.512,-7.827,8.439
6.881,2.662352,-2.37026,-9.394848,10.048354,2.772,-1.713,-8.226,8.857
6.899,2.63841,-2.643199,-9.141062,9.874549,2.707,-1.981,-8.6,9.243
6.919,1.977611,-2.547431,-7.920019,8.551436,2.561,-2.274,-8.742,9.405
6.94,1.637634,-1.814805,-8.140285,8.499389,2.229,-2.344,-8.649,9.243
6.962,1.742979,-2.135628,-8.796297,9.218119,1.999,-2.285,-8.499,9.036
6.979,2.145205,-2.494758,-9.92636,10.457454,1.876,-2.248,-8.696,9.182
6.999,2.015918,-3.323152,-9.773131,10.517669,1.885,-2.442,-9.159,9.673
7.019,2.413355,-3.730166,-9.629479,10.604966,2.079,-2.921,-9.531,10.2
7.042,2.547431,-4.343082,-9.763555,10.985388,2.28,-3.473,-9.773,10.641
7.059,3.08852,-4.141969,-11.36767,12.486745,2.516,-3.885,-10.133,11.149
7.079,2.049437,-2.930503,-10.079589,10.695146,2.525,-3.786,-10.21,11.193
7.099,2.499547,-2.059013,-7.795521,8.441411,2.546,-3.369,-9.752,10.652
7.12,1.742979,-2.102109,-7.627927,8.101982,2.345,-2.808,-9.218,9.931
7.139,1.68073,-2.964022,-8.221688,8.8998,1.993,-2.514,-8.431,9.035
7.159,2.173935,-3.519476,-8.556877,9.50436,2.024,-2.661,-8.051,8.737
7.179,1.886631,-3.318364,-9.830592,10.545684,1.871,-2.976,-8.559,9.263
7.201,1.905785,-3.227384,-11.008539,11.6291,1.912,-3.257,-9.404,10.145
7.219,1.896208,-2.748544,-10.113108,10.650119,1.966,-3.203,-9.877,10.582
7.239,1.61848,-2.710236,-9.773131,10.270295,1.827,-3.001,-10.181,10.774
7.259,1.73819,-2.964022,-9.342175,9.954043,1.79,-2.913,-10.059,10.626
7.28,1.661576,-3.198653,-9.069236,9.759265,1.729,-2.905,-9.574,10.158
7.299,1.335965,-3.126827,-9.016563,9.636403,1.589,-3,-9.3,9.905
7.319,1.541866,-2.810793,-9.318233,9.854308,1.569,-3.025,-9.187,9.801
7.339,2.135628,-2.877831,-9.490616,10.144684,1.669,-3.004,-9.224,9.849
7.361,2.403779,-2.959233,-9.380483,10.125644,1.854,-2.944,-9.301,9.94
7.379,2.140416,-3.519476,-8.959103,9.860711,2.055,-3.042,-9.287,9.996
7.399,1.675941,-3.332729,-8.595184,9.369795,2.089,-3.172,-9.106,9.875
7.419,1.316811,-2.738967,-8.892065,9.397061,1.884,-3.138,-8.957,9.688
7.441,1.513135,-2.628834,-9.332599,9.813141,1.662,-3.055,-8.945,9.61
7.459,1.776498,-3.308787,-9.375694,10.099884,1.571,-3.002,-9.049,9.67
7.479,1.900996,-3.351882,-9.289502,10.057025,1.627,-3.007,-9.222,9.842
7.499,1.374272,-3.246537,-9.318233,9.962836,1.641,-3.134,-9.329,9.983
7.521,1.632846,-3.610456,-9.423578,10.222788,1.671,-3.379,-9.352,10.086
7.539,1.953669,-3.495534,-9.270349,10.098264,1.715,-3.426,-9.325,10.085
7.559,1.671153,-3.016694,-8.959103,9.599933,1.658,-3.342,-9.243,9.971
7.579,1.786075,-2.873042,-8.671799,9.308304,1.761,-3.249,-9.081,9.807
7.599,1.671153,-3.078943,-9.112331,9.762542,1.771,-3.116,-9.003,9.692
7.625,2.049437,-3.313575,-9.92636,10.663611,1.794,-3.071,-9.167,9.834
7.639,1.637634,-3.351882,-10.520123,11.161987,1.786,-3.154,-9.558,10.224
7.658,1.493982,-2.691083,-9.356541,9.84981,1.713,-3.109,-9.729,10.359
7.679,2.111686,-2.169147,-7.747637,8.31807,1.823,-2.881,-9.388,9.998
7.699,1.810017,-2.27928,-9.069236,9.524826,1.763,-2.623,-9.173,9.714
7.719,1.604115,-3.32794,-9.854534,10.524268,1.755,-2.617,-9.007,9.554
7.739,1.838747,-3.806781,-9.768343,10.643923,1.841,-2.896,-9.11,9.753
7.763,2.212242,-3.394978,-9.069236,9.933324,1.866,-3.202,-9.44,10.157
7.779,2.422932,-2.949656,-8.916007,9.698776,2.02,-3.37,-9.402,10.2
7.799,1.728614,-2.791639,-8.78672,9.380182,2.051,-3.236,-9.135,9.914
7.819,2.006341,-2.643199,-9.495404,10.058559,2.093,-2.945,-9.067,9.768
7.839,2.719813,-3.653552,-10.472239,11.419878,2.219,-3.01,-9.418,10.139
7.859,2.379837,-4.022259,-9.102755,10.232415,2.209,-3.278,-9.464,10.273
7.879,1.991976,-2.743755,-7.972692,8.663716,2.274,-3.266,-9.261,10.094
7.899,1.714248,-1.752556,-8.480263,8.827511,2.201,-3.043,-9.007,9.786
7.922,1.551443,-1.446098,-8.470686,8.732164,1.909,-2.491,-8.507,9.114
7.939,1.838747,-1.56102,-7.814674,8.178442,1.774,-1.876,-8.185,8.6
7.959,1.053449,-2.456451,-7.891289,8.331647,1.539,-1.804,-8.164,8.517
7.979,0.957681,-2.652776,-7.872135,8.36211,1.35,-2.029,-8.012,8.401
8.01,1.910573,-2.762909,-7.374141,8.103204,1.44,-2.358,-7.738,8.244
8.019,2.145205,-2.595315,-7.402872,8.132655,1.517,-2.617,-7.635,8.232
8.039,2.092532,-2.628834,-7.82904,8.519585,1.776,-2.66,-7.62,8.279
8.059,2.063802,-3.519476,-9.782708,10.599404,2.053,-2.877,-8.097,8.839
8.081,1.613692,-4.630386,-11.587936,12.582716,1.979,-3.344,-9.151,9.959
8.099,1.25935,-3.548207,-12.564771,13.116752,1.757,-3.582,-10.441,11.205
8.119,1.604115,-2.662352,-11.046846,11.475806,1.635,-3.59,-11.246,11.944
8.139,0.861913,-2.365471,-9.552865,9.879048,1.335,-3.302,-11.188,11.764
8.159,1.853112,-2.327164,-8.528147,9.03211,1.395,-2.726,-10.423,10.876
8.179,1.651999,-2.183512,-8.839393,9.253739,1.493,-2.385,-9.492,9.91
