distance,sdX,meanX,sdY,meanY,abnormal
35,0.5601,0.9922,0.5746,4.9063,1
40,0.7225,1.3124,0.9215,4.1061,1
45,0.5492,1.7059,0.8342,2.9555,1
50,0.6825,1.4888,0.8141,3.0195,1
55,0.621,1.0075,0.3889,3.5541,1
60,0.5687,0.9732,1.3686,3.7416,1
65,0.6895,1.4849,0.603,3.2628,1
70,0.4788,1.568,0.632,3.5472,1
75,0.4926,1.798,0.9216,3.6269,1
80,0.5865,1.2307,0.8046,3.5466,1
85,0.3837,0.4646,1.064,4.2595,1
90,0.4294,0.6589,0.9219,3.8128,1
95,0.4568,0.5367,1.0014,4.7401,1
100,0.1749,0.2945,0.7311,4.8268,1
5,0.4835,0.5643,0.8783,4.225,1
10,0.5789,0.8331,1.0802,4.9241,1
15,0.571,0.7651,0.7111,4.6571,1
20,0.5869,0.9078,0.9556,4.1517,1
25,0.3931,0.6198,0.6737,3.1867,1
30,0.3002,0.4467,0.5426,2.995,1
35,0.3596,0.3973,0.6949,2.9565,1
40,0.383,0.4004,0.7499,3.0392,1
45,0.3423,0.4514,0.6882,3.5286,1
50,0.6882,1.3804,0.8183,3.4754,1
55,0.8308,1.5418,0.5425,3.3641,1
60,0.7267,0.9913,1.4548,2.6111,1
65,0.7036,1.0991,0.677,1.0281,1
70,1.1465,1.4619,0.9366,1.1778,1
75,0.7744,1.209,0.702,0.8483,1
80,1.1382,1.4464,0.672,1.0453,1
85,1.8021,1.8171,0.7439,0.9303,1
90,1.1259,1.6987,0.8453,1.2386,1
95,1.2787,1.4981,0.5083,1.005,1
100,1.0236,1.3962,0.8901,1.3335,1
5,0.8355,1.2847,1.1592,1.4946,1
10,0.9522,1.3665,0.8742,1.4583,1
15,0.7928,1.0677,1.0164,1.5312,1
20,0.3721,0.6022,0.5678,0.6732,1
25,0.3531,0.595,0.6462,0.788,1
30,0.5663,0.8295,0.6159,0.8988,1
35,0.505,0.7181,0.6138,0.7981,1
40,0.6724,1.2918,0.9459,1.1384,1
45,1.0877,1.4986,1.2708,1.8554,1
50,0.9279,1.2972,0.8126,1.9124,1
55,0.7112,1.2821,0.3573,1.9384,1
60,0.9115,1.4888,0.7637,1.8871,1
65,0.8572,1.0519,0.641,0.9828,1
70,0.7307,0.7759,0.356,0.521,1
75,0.5135,0.6564,0.5979,0.6583,1
80,0.4851,0.7396,0.5539,1.1774,1
85,0.4133,0.6218,1.1079,3.0051,1
90,0.4269,0.7405,0.6128,4.5993,1
95,0.5873,1.2933,0.4044,3.9511,1
100,0.4034,0.4615,0.2875,3.2132,1
5,0.428,0.765,0.3442,3.3658,1
10,0.7202,1.0087,0.6279,4.071,1
15,0.3952,0.7385,0.4949,3.9146,1
20,0.6185,1.1538,0.9791,3.7811,1
25,0.7508,1.2434,0.613,3.7858,1
30,0.9172,1.5709,1.0441,3.0825,1
35,0.3328,0.5021,0.8432,0.9656,1
40,0.3253,0.6233,0.312,0.3635,1
45,0.5779,0.8031,0.4519,0.7204,1
50,0.654,1.4571,0.7492,0.5854,1
55,0.4648,0.811,0.4885,0.8979,1
60,0.5761,0.674,0.5826,0.7674,1
65,0.5644,0.7051,0.5806,1.0163,1
70,0.4978,0.6688,0.6794,1.1723,1
75,0.4425,0.7479,0.7509,0.9164,1
80,0.5434,0.7096,0.9376,1.7585,1
85,0.3423,0.4361,0.6131,1.3898,1
90,0.5871,0.8052,0.6249,1.2572,1
95,0.4766,0.9409,0.7156,1.5661,1
100,0.5294,0.8357,0.5619,1.9918,1
